PM2.5,PM10,NO2,SO2,CO,O3,AQI
86.57,25.19,99.88,30.63,4.46,36.29,186.2333333
50.63,97.39,48.14,8.71,3.4,144.16,165.4179104
130.21,57.22,98.51,9.92,0.12,179.31,308.0846154
119.7,130.52,10.96,33.03,7.74,38.65,296.6666667
55.2,36.62,76.85,21.85,2,67.09,95.8125
121.28,196.39,86.17,28.74,2.64,46.86,301.2153846
118.76,15.69,12.99,39.05,3.04,15.75,293.5333333
72.52,23.43,92.01,15.26,4.57,106.5,139.4
131.46,145.57,10.13,25.1,9.08,181.72,309.0461538
64.71,92.84,92.98,36.4,3.68,88.44,113.3666667
90,198.93,38.1,31.19,8.11,26.21,197.6666667
17.13,139.82,73.14,15.31,1.09,140.73,160.2985075
65.36,133.71,67.95,22.34,7.46,156.39,183.6716418
57.67,125.1,72.26,44.36,2.08,118.49,127.1044776
59.3,133.7,50.14,3.48,8.96,43.33,122.8
135.69,165.03,30.31,32.65,6.39,130.56,312.3
47.14,49.91,78.01,35.11,5.85,30.43,97.2625
82.4,196.86,20.76,47.75,9.57,21.74,172.3333333
12.24,16.91,62.96,2.67,4.51,90.01,90.01
87.33,186.95,5.26,12.98,4.48,75.76,188.7666667
117.5,78.71,65.64,23.42,6.84,172.34,289.3333333
39.98,47.38,84.35,44.59,4.92,138.44,156.880597
137.09,180.61,6.26,14.89,5.17,113.12,313.3769231
80.56,129.36,18.31,12.31,9.08,91.59,166.2
82.4,80.55,91.9,46.52,0.27,146.03,172.3333333
96.03,170.57,18.43,20.3,0.55,141.03,217.7666667
20.37,119.29,18.03,31.37,2.86,140.94,160.6119403
63.18,196.52,29.87,3.01,6.29,98.83,164.68
54.08,58.74,81.4,39.68,5.06,26.49,101.4
47.57,127.09,55.6,46.79,3.64,58.87,118.3933333
84.59,41.29,96.59,46.31,9.14,105.35,179.6333333
47.79,38.17,39.92,35.19,6.69,13.69,78.98333333
120.9,33.7,97.53,9.28,5.67,191.24,258.025641
61.28,163.36,40.2,19.43,3.64,128.34,142.5733333
56.85,174.8,56.22,13.99,7.85,196.95,272.6666667
53.81,196.76,38.28,15.76,9.3,54.07,164.84
149.74,50.31,31.21,28.64,8.16,19.81,323.1076923
72.01,191.78,95.75,21.45,2.42,181.34,232.6410256
62.34,38.48,57.36,32.1,2.58,154.98,181.5671642
146.7,19.19,49.25,49.01,8.91,107.53,320.7692308
29.11,43.8,58.04,4.54,5.25,137.61,155.641791
51.47,137.97,97.83,3.45,7.12,194.18,265.5641026
115.42,112.95,32.17,25.88,1.52,59.51,282.4
62.02,110.1,81.69,38.72,7.55,93.17,107.0666667
107.32,60.56,54.25,9.31,5.85,53.98,255.4
109.42,144.32,88.74,36.56,2.02,188.95,262.4
67.97,114.57,11.57,34.89,1.6,46.13,124.2333333
35.41,134.39,6.99,5.4,0.77,134.92,151.6268657
53.54,101.44,96.54,21.05,3.31,187.25,247.7948718
117.95,93.33,24.62,5.84,7.3,161.08,290.8333333
24.11,168.42,57.92,23.16,8.35,178.71,225.8974359
138.71,29.36,56.09,32.84,9.67,106.91,314.6230769
11.79,147.53,18.63,25.38,5.34,31.37,132.02
18.33,114.51,35.85,22.13,9.76,134.35,150.7761194
135.47,105.67,10.03,6.66,5.58,70.22,312.1307692
146.96,199.41,58.71,9.74,5.75,45.52,320.9692308
40.46,44.61,62.05,27.29,1.59,110.95,115.8507463
85.89,100.87,45.18,20.98,0.86,157.35,185.1044776
69.11,66.95,93.83,9.47,7.44,85.1,128.0333333
83.43,147.22,69.61,1.96,5.25,62.63,175.7666667
89.49,22.58,77.46,46.77,8.69,37.15,195.9666667
128.8,78.22,82.96,33.73,7.26,130.11,307
74.27,22.48,28.34,5.19,4.51,85.87,145.2333333
71.19,152.28,59.61,38.15,8.53,95.3,135.1866667
138.01,144.76,43.96,34.38,6.38,143.06,314.0846154
141.07,180.87,64.77,36.89,5.19,99.49,316.4384615
130.25,146.3,69.33,10.69,6.42,161.41,308.1153846
65.66,193.75,82.38,28.86,0.57,179.54,228.025641
100.49,158.5,64.92,5.32,3.17,114.58,232.6333333
20.37,159.92,30.59,45.4,4.91,72.99,140.28
119.63,80.06,77.28,32.73,0.64,11.24,296.4333333
148.05,84.57,97.71,11.14,5.82,194.72,321.8076923
103.62,190.24,12.28,36.23,5.55,166.62,243.0666667
58.66,14.66,72.78,15.02,0.56,56.18,97.1
37.66,122.96,60.73,24.27,2.71,188.61,251.2820513
72.8,63.12,81.99,36.2,2.15,14.26,140.3333333
77.45,151.21,14.56,5.74,6.17,147.87,170.9552239
146.72,11.9,40.6,48.84,9.17,11.93,320.7846154
32.33,105.66,24.29,19,3.99,99.94,104.1066667
21.8,71.51,74.7,11.27,1.75,76.6,93.125
87.07,85.19,88.69,35.81,6.08,182.3,235.1025641
55.44,191.06,40.02,18.4,3.37,67.35,161.04
144.95,158.4,90.01,1.89,1.8,73.86,319.4230769
9.9,65.66,23.25,42.52,5.02,176.46,220.1282051
63.9,119.19,27.63,44.65,8.45,24.76,113.1266667
44.14,173.54,55.14,11.35,7.25,27.23,149.36
106.05,34.58,50.65,26.87,0.68,56.14,251.1666667
142.44,78.09,39.89,48.76,2.77,78.37,317.4923077
115.9,192.59,40.41,39.68,4.11,88.56,284
5.49,113.31,68.29,13.41,8.85,187.1,247.4102564
20.02,148.55,79.87,5.58,0.74,31.16,132.7
114.16,73.74,25.42,19.3,0.19,124.68,278.2
123.26,85.23,39.19,8.13,6.68,142.73,302.7384615
137.18,59.78,29.19,49.83,8.61,29.87,313.4461538
5.66,54.26,54.62,32.82,5.78,185.95,244.4615385
106.04,147.05,27.88,2.34,2.46,84.55,251.1333333
82.5,45.4,46.54,45.4,0.63,43.62,172.6666667
63.6,63.1,29.12,7,2.99,199.32,278.7435897
50.14,74.98,68.73,45.33,8.96,109.38,113.5074627
88,69.23,83.63,36.93,2.29,85.15,191
27.86,70.02,64.94,30.54,6.32,27.87,80.925
47.84,159,52.49,39.71,4.07,176.78,220.9487179
84.92,169.36,86.84,14.75,3.89,121.46,180.7333333
66.75,50.87,33.48,17.33,3.84,173.76,213.2051282
129.75,26.93,72.63,16.66,6.64,137.63,307.7307692
143.09,175.85,44.14,20.59,3.92,160.2,317.9923077
91.48,146.71,73.79,17.95,3.3,66.59,202.6
84.35,74.41,41.19,5.29,5.17,155.78,182.761194
145.71,24.21,29.87,39.23,9.41,52.36,320.0076923
15.49,166.6,16.59,27.53,0.47,53.49,144.7333333
140.7,109.91,37.91,40.65,2.79,192.33,316.1538462
143.68,164.82,51.3,14.49,1.81,181.42,318.4461538
41.93,96.3,66.84,2.82,4.23,180.66,230.8974359
97.61,22.7,14.7,45.45,3.59,70.76,223.0333333
29.09,93.21,7.69,17.97,3.75,80.85,93.21
16.76,102.65,65.51,48.63,3.71,14.45,102.1
134.05,182.71,19.94,38.66,1.06,83.26,311.0384615
50.25,92.07,40.15,15.55,2.74,192.83,262.1025641
